,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity
1577,Self-Storage Facility,7,MAGNOLIA / QUEEN ANNE,1915,3,39952,0,Self-Storage Facility,Self-Storage Facility,39952.0,,,,,63.63590772316951,1.399999976,0.0,57133.0,0.0,0.01
1581,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1961,2,20022,0,Office,Office,20784.0,,,,,80.0,31.60000038,0.0,657386.0,0.0,0.23
1582,Distribution Center,7,MAGNOLIA / QUEEN ANNE,1960,2,36498,0,"Distribution Center, Non-Refrigerated Warehouse",Distribution Center,18229.0,Non-Refrigerated Warehouse,17200.0,,,89.0,14.69999981,0.0,277628.0,242384.0,0.41
1583,Distribution Center,7,MAGNOLIA / QUEEN ANNE,1968,1,35946,0,"Distribution Center, Office",Distribution Center,31845.0,Office,4101.0,,,53.725,13.10000038,0.0,300259.0,169240.0,0.31
1584,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,2007,4,30152,5680,"Office, Parking",Office,25184.0,Parking,4968.0,,,96.0,33.59999847,0.0,844068.0,976.0,0.2
1585,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1979,4,22365,0,Office,Office,21617.0,,,,,71.0,33.59999847,0.0,727386.0,0.0,0.23
1586,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1994,4,30172,0,Office,Office,30172.0,,,,,82.0,30.0,0.0,904060.0,0.0,0.21
1590,Warehouse,6,BALLARD,1927,4,42500,0,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,42500.0,Retail Store,5091.0,,,100.0,5.099999905,0.0,241478.0,0.0,0.04
1591,Small- and Mid-Sized Office,6,BALLARD,1901,4,23032,0,"Office, Restaurant, Retail Store",Office,14448.0,Restaurant,5300.0,Retail Store,1460.0,67.21794871794872,52.90000153,0.0,1121537.0,0.0,0.34
1593,Other,6,BALLARD,1900,3,45750,4914,"Other, Parking",Other,42850.0,Parking,2900.0,,,62.36363636363637,169.0,0.0,1749609.0,5490664.0,6.64
1595,Small- and Mid-Sized Office,6,BALLARD,1968,2,23500,0,Office,Office,23500.0,,,,,26.0,71.80000305,0.0,1192984.0,493421.0,1.47
1596,Small- and Mid-Sized Office,6,BALLARD,1966,1,22282,0,Office,Office,22282.0,,,,,93.0,26.0,0.0,306298.0,273590.0,0.75
1597,Self-Storage Facility,6,BALLARD,1902,2,24000,0,Self-Storage Facility,Self-Storage Facility,24000.0,,,,,63.63590772316951,21.0,0.0,201999.0,300900.0,0.72
1599,Mixed Use Property,6,BALLARD,1909,3,27085,0,"Multifamily Housing, Office, Other, Strip Mall",Strip Mall,9500.0,Office,8196.0,Multifamily Housing,6700.0,61.96153846153846,73.69999695,0.0,981638.0,1013494.0,2.24
1606,Other,5,NORTH,1996,2,29258,0,"Fitness Center/Health Club/Gym, Other - Recreation, Swimming Pool",Other - Recreation,31991.0,Fitness Center/Health Club/Gym,2648.0,Swimming Pool,0.0,62.36363636363637,233.5,0.0,2608582.0,5478361.0,10.57
1607,Small- and Mid-Sized Office,5,NORTH,1931,2,37500,0,Office,Office,37500.0,,,,,58.0,59.59999847,0.0,1614256.0,621509.0,1.18
1609,K-12 School,5,NORTHWEST,1930,3,23983,0,K-12 School,K-12 School,23983.0,,,,,61.0,48.5,0.0,618998.0,545367.0,1.39
1610,Distribution Center,1,DELRIDGE,1980,1,24100,0,"Distribution Center, Non-Refrigerated Warehouse",Distribution Center,20100.0,Non-Refrigerated Warehouse,3500.0,,,22.0,34.29999924,0.0,271509.0,538362.0,1.27
1613,K-12 School,4,NORTHEAST,2004,2,31343,0,K-12 School,K-12 School,51515.0,,,,,5.0,74.69999695,0.0,1639135.0,2207366.0,4.1
1619,Mixed Use Property,6,NORTHWEST,1996,3,55912,22850,"Office, Parking, Retail Store",Parking,24052.0,Office,23501.0,Retail Store,9561.0,61.96153846153846,74.09999847,0.0,2450443.0,0.0,0.31
1620,Other,7,MAGNOLIA / QUEEN ANNE,1957,2,20294,0,"Office, Other",Other,18000.0,Office,2294.0,,,62.36363636363637,85.5,0.0,536408.0,1199588.0,3.32
1621,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1983,4,40571,10849,Office,Office,24008.0,,,,,64.0,53.59999847,0.0,1286817.0,0.0,0.22
1622,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,1983,4,41707,15659,"Office, Parking",Office,41707.0,Parking,12000.0,,,78.0,42.09999847,0.0,1755788.0,0.0,0.29
1623,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,1960,2,57644,0,"Non-Refrigerated Warehouse, Office, Other - Services",Office,20176.0,Other - Services,19440.0,Non-Refrigerated Warehouse,15490.0,61.96153846153846,39.70000076,0.0,1591510.0,598225.0,0.74
1624,Warehouse,7,MAGNOLIA / QUEEN ANNE,1955,2,39497,0,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,25547.0,Office,13950.0,,,9.0,43.0,0.0,1344071.0,355986.0,0.72
1634,Other,3,EAST,1932,1,33087,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,53776.0,,,,,62.36363636363637,66.0,0.0,1443141.0,2105717.0,3.68
1637,Small- and Mid-Sized Office,5,NORTHWEST,1982,2,27574,0,Office,Office,27574.0,,,,,73.0,43.90000153,0.0,1211349.0,0.0,0.31
1643,Senior Care Community,5,North,1998,5,43661,0,"Parking, Senior Care Community",Senior Care Community,43661.0,Parking,0.0,,,4.0,90.19999695,0.0,2741695.0,1194726.0,1.89
1648,Small- and Mid-Sized Office,5,NORTHWEST,1987,3,76105,27307,Office,Office,76105.0,,,,,91.0,32.5,0.0,2472350.0,0.0,0.23
1653,Mixed Use Property,5,North,1952,2,32009,0,"Non-Refrigerated Warehouse, Office, Retail Store",Non-Refrigerated Warehouse,17500.0,Retail Store,15770.0,Office,4000.0,61.96153846153846,53.59999847,0.0,1340993.0,657732.0,1.38
1657,Medical Office,5,NORTH,1988,3,28841,0,Medical Office,Medical Office,28841.0,,,,,55.0,50.59999847,0.0,955324.0,503875.0,1.16
1658,Self-Storage Facility,5,NORTH,1977,2,33344,0,"Office, Parking, Self-Storage Facility",Self-Storage Facility,31360.0,Office,984.0,Parking,0.0,63.63590772316951,3.799999952,0.0,123767.0,0.0,0.03
1659,Other,5,NORTH,2005,1,30498,0,Other - Recreation,Other - Recreation,30498.0,,,,,62.36363636363637,79.90000153,0.0,1066226.0,1369837.0,2.63
1664,K-12 School,1,DELRIDGE,1924,2,42975,0,K-12 School,K-12 School,21405.0,,,,,92.0,44.79999924,0.0,173165.0,786187.0,1.0
1666,Other,1,DELRIDGE,1963,1,23260,0,"Office, Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",13075.0,Office,10185.0,,,62.36363636363637,69.30000305,0.0,719779.0,892327.0,2.25
1668,Small- and Mid-Sized Office,1,DELRIDGE,1988,2,30659,0,"Data Center, Non-Refrigerated Warehouse, Office",Office,27262.0,Non-Refrigerated Warehouse,8653.0,Data Center,285.0,88.0,72.40000153,0.0,1804388.0,814700.0,1.82
1669,Other,7,MAGNOLIA / QUEEN ANNE,1920,2,27144,0,Other,Other,27144.0,,,,,62.36363636363637,37.29999924,0.0,458796.0,553228.0,1.2
